processus_total,erreur,nb_worker,temps(ms)
120000000,6.396322896205382E-5,1,4066
120000000,1.6828798986274358E-6,1,4041
120000000,6.446191445039332E-5,1,4180
120000000,2.617984547195855E-5,1,4178
120000000,4.633114660063836E-5,1,4189
120000000,1.8638186502735727E-5,1,4188
240000000,2.648452519711791E-5,2,4268
240000000,2.2625385076308152E-5,2,4658
240000000,2.709763897715115E-5,2,4596
240000000,8.653866406093879E-6,2,4471
240000000,9.598185735068158E-6,2,4346
240000000,3.6402897983200936E-5,2,4641
240000000,9.192707879283976E-6,2,5161
360000000,2.967064389047638E-5,3,4987
360000000,1.0549578617088577E-5,3,4487
360000000,6.510789310903956E-5,3,4846
360000000,2.199249269582289E-6,3,4816
360000000,4.4392802455635855E-6,3,4911
360000000,5.51799708227322E-6,3,5265
360000000,2.0763789187164638E-5,3,5065
360000000,7.076464081327464E-6,3,5081
480000000,2.0322576317113017E-5,4,4766
480000000,1.170931498397101E-6,4,4784
480000000,3.082680256109143E-5,4,4941
480000000,2.167008816858658E-5,4,4954
480000000,2.0994046909635575E-5,4,5034
480000000,1.4896086336621097E-6,4,5160
480000000,2.772328117086042E-5,4,5191
720000000,2.7168891452353228E-5,6,4924
720000000,1.2186589197723844E-5,6,4862
720000000,2.80477804159334E-5,6,5052
720000000,1.8512630936449406E-5,6,4986
720000000,3.2924995227537214E-5,6,5065
720000000,1.9036021013201963E-7,6,5377
720000000,4.128062973982811E-5,6,5347
720000000,1.9501159971820718E-5,6,5471
960000000,1.9790100835932037E-6,8,5521
960000000,9.201991917692378E-6,8,5178
960000000,3.01742672944224E-5,8,5552
960000000,9.682109329356427E-6,8,5379
960000000,1.3928893727489733E-5,8,5331
960000000,9.755055344897399E-6,8,5787
960000000,1.19182582711225E-7,8,5753
960000000,3.2452835563120755E-5,8,5768
960000000,2.6216981625309444E-5,8,5723
960000000,1.482414028238309E-5,8,5738
1440000000,9.024343745684071E-6,12,8064
1440000000,1.1713545339105938E-5,12,8081
1440000000,5.6152584362336115E-6,12,7971
1440000000,2.4636926718080047E-5,12,8065
1440000000,8.871051831980852E-7,12,8675
1440000000,1.5029273320155804E-5,12,8832
1440000000,5.019828538674373E-6,12,8770
