120000000, 3.208979902547207E-5, 1, 4163ms
120000000, 7.263186819578839E-5, 1, 4160ms
120000000, 6.296087915087214E-6, 1, 4112ms
120000000, 4.507684238172011E-5, 1, 4111ms
120000000, 5.640532816918475E-6, 1, 4112ms
120000000, 7.378341528037205E-6, 1, 4130ms
120000000, 2.9856650986805976E-6, 1, 4112ms
120000000, 6.7793557925797E-5, 1, 4114ms
120000000, 2.514231851042896E-5, 1, 4131ms
120000000, 3.1577157046488527E-6, 1, 4127ms
120000000, 2.900219312945353E-5, 2, 2165ms
120000000, 3.622284871137164E-6, 2, 2129ms
120000000, 5.844585760147036E-5, 2, 2126ms
120000000, 1.1487159009237282E-4, 2, 2225ms
120000000, 5.985703143021785E-5, 2, 2208ms
120000000, 5.0251337036003375E-6, 2, 2121ms
120000000, 5.246163174125505E-5, 2, 2131ms
120000000, 1.2216651798028593E-5, 2, 2133ms
120000000, 1.1497434722585927E-5, 2, 2131ms
120000000, 7.032110168934566E-5, 2, 2108ms
120000000, 6.71217610044061E-6, 3, 1605ms
120000000, 7.338185543186604E-6, 3, 1501ms
120000000, 1.659871789781599E-5, 3, 1532ms
120000000, 7.8770270163767E-6, 3, 1587ms
120000000, 2.6137404153823053E-5, 3, 1516ms
120000000, 3.5317624538751235E-5, 3, 1550ms
120000000, 5.558996342570464E-7, 3, 1507ms
120000000, 2.936522966710221E-5, 3, 1510ms
120000000, 2.416388285946214E-5, 3, 1496ms
120000000, 2.4558750385677106E-5, 3, 1470ms
120000000, 4.6106044347106745E-5, 4, 1257ms
120000000, 1.3829421888025724E-5, 4, 1207ms
120000000, 1.826682496880273E-5, 4, 1211ms
120000000, 2.0966827506959325E-6, 4, 1182ms
120000000, 1.4600629783807237E-6, 4, 1219ms
120000000, 1.0232520174239824E-5, 4, 1202ms
120000000, 7.247271325267424E-5, 4, 1227ms
120000000, 9.343537826113802E-6, 4, 1204ms
120000000, 1.4722974902580187E-5, 4, 1213ms
120000000, 6.782538891436329E-5, 4, 1195ms
120000000, 1.2378092074427634E-5, 6, 843ms
120000000, 2.1072930802651467E-6, 6, 852ms
120000000, 3.144820041794739E-6, 6, 848ms
120000000, 1.3587669641925482E-5, 6, 841ms
120000000, 5.967894116125018E-5, 6, 849ms
120000000, 9.566354746501872E-6, 6, 838ms
120000000, 8.504595375685379E-5, 6, 831ms
120000000, 4.82834472360022E-5, 6, 859ms
120000000, 1.9423350888595862E-5, 6, 824ms
120000000, 6.366613973496397E-5, 6, 837ms
1200000000, 6.512701904991725E-6, 1, 40422ms
1200000000, 6.644106723939668E-6, 1, 40443ms
1200000000, 2.3587578902356515E-6, 1, 40422ms
1200000000, 1.5613018283606587E-5, 1, 40440ms
1200000000, 9.208949703637003E-7, 1, 40406ms
1200000000, 9.739303117886363E-6, 1, 40442ms
1200000000, 2.9490431555707952E-5, 1, 40425ms
1200000000, 2.961653120987129E-5, 1, 40404ms
1200000000, 3.2583505679308887E-6, 1, 40414ms
1200000000, 1.2458730578955763E-5, 1, 40458ms
1200000000, 1.7476029088017423E-6, 2, 21192ms
1200000000, 6.598808637243598E-7, 2, 21199ms
1200000000, 9.830551951983705E-6, 2, 21070ms
1200000000, 5.0124013080890085E-6, 2, 20870ms
1200000000, 7.362589301167526E-6, 2, 21485ms
1200000000, 2.4871428776838862E-6, 2, 21462ms
1200000000, 7.703017611950473E-6, 2, 20832ms
1200000000, 1.3214186042191729E-5, 2, 21596ms
