processus_total,erreur,nb_worker,temps(ms)
120000000,5.696269679916463E-5,1,4115
120000000,1.504128478880847E-5,1,4288
240000000,5.301336887729926E-5,2,4310
240000000,5.256773503666448E-5,2,4337
360000000,3.0846948411852403E-6,3,4448
360000000,6.527890982496109E-5,3,4448
480000000,2.6206004046703503E-5,4,4864
480000000,1.8574524525461797E-5,4,4645
720000000,1.876727884540376E-5,6,4859
720000000,5.5273559684629045E-6,6,4849
960000000,5.979104320019743E-6,8,5304
960000000,9.602531857728678E-6,8,5219
1440000000,1.6206135705027277E-5,12,7896
1440000000,1.8482935585181383E-5,12,8090
