processus_total,erreur,nb_worker,temps(ms)
12000000,1.1607284266358637E-4,1,453
12000000,1.8059197125975586E-4,1,462
12000000,3.9156278498778735E-5,1,440
12000000,1.7389913865366712E-4,1,471
12000000,1.5947741547624826E-4,1,453
12000000,2.7476591009012298E-5,1,453
12000000,2.1718928317463525E-4,1,462
12000000,2.2748962782407912E-4,1,453
12000000,4.0208986456447335E-5,1,453
12000000,2.5044540211303848E-5,1,456
12000000,1.421825783269146E-4,2,223
12000000,1.714670878558173E-4,2,231
12000000,1.383505338252682E-6,2,227
12000000,1.2000698958945407E-4,2,234
12000000,9.969547269001154E-6,2,238
12000000,2.49232478383759E-4,2,226
12000000,3.058916381244774E-4,2,242
12000000,5.040322781062314E-5,2,233
12000000,1.9225500875681231E-4,2,241
12000000,6.24906784893173E-5,2,249
12000000,1.0005957005516746E-4,3,179
12000000,2.1347566783587072E-4,3,162
12000000,1.1819490857135085E-4,3,180
12000000,9.145687813199171E-5,3,161
12000000,1.2381838322748508E-4,3,178
12000000,6.811415314516882E-5,3,164
12000000,1.0589525130197919E-4,3,176
12000000,9.231402949155144E-5,3,160
12000000,8.604561006695903E-5,3,161
12000000,1.3220886855984197E-4,3,175
12000000,4.0111208157322226E-5,4,125
12000000,1.8949632307659127E-4,4,132
12000000,1.3380041799070067E-4,4,137
12000000,1.0971496993615316E-4,4,136
12000000,8.05365637026599E-5,4,130
12000000,7.95816340441164E-5,4,129
12000000,4.317987872748724E-5,4,145
12000000,1.7602120456157295E-4,4,136
12000000,1.9502201943345904E-4,4,133
12000000,2.0244925011098813E-4,4,143
12000000,9.04041701743231E-5,6,109
12000000,1.658352882035401E-4,6,101
12000000,7.830006950306031E-5,6,104
12000000,8.810736015923122E-6,6,104
12000000,1.678512508160365E-4,6,110
12000000,7.325289880332491E-6,6,106
12000000,4.0308225670580155E-4,6,112
12000000,1.1925594152530376E-4,6,96
12000000,2.75452318214957E-6,6,101
12000000,4.0509821931858066E-4,6,110
12000000,1.0600135459738862E-4,8,102
12000000,8.271894542591667E-6,8,86
12000000,7.17216651886653E-5,8,116
12000000,1.2414501810985632E-4,8,110
12000000,1.0737237244114414E-4,8,131
12000000,2.1004289990026706E-5,8,115
12000000,6.292341666709797E-5,8,104
12000000,1.0960054164445942E-4,8,101
12000000,8.096097688415625E-5,8,93
12000000,4.0584094238616393E-4,8,86
12000000,1.9200533968207794E-5,12,124
12000000,8.424185404514012E-5,12,121
12000000,2.7582694304421727E-5,12,110
12000000,9.57093349440877E-5,12,110
12000000,1.263045465009709E-5,12,142
12000000,1.2128022913422585E-4,12,115
12000000,1.9172449227990653E-4,12,115
12000000,8.859208915636123E-5,12,126
12000000,2.2855066077817341E-4,12,113
12000000,1.2414501810985632E-4,12,134
