processus_total,erreur,nb_worker,temps(ms)
120000000,3.208979902547207E-5,1,4163
120000000,7.263186819578839E-5,1,4160
120000000,6.296087915087214E-6,1,4112
120000000,4.507684238172011E-5,1,4111
120000000,5.640532816918475E-6,1,4112
120000000,7.378341528037205E-6,1,4130
120000000,2.9856650986805976E-6,1,4112
120000000,6.7793557925797E-5,1,4114
120000000,2.514231851042896E-5,1,4131
120000000,3.1577157046488527E-6,1,4127
120000000,2.900219312945353E-5,2,2165
120000000,3.622284871137164E-6,2,2129
120000000,5.844585760147036E-5,2,2126
120000000,1.1487159009237282E-4,2,2225
120000000,5.985703143021785E-5,2,2208
120000000,5.0251337036003375E-6,2,2121
120000000,5.246163174125505E-5,2,2131
120000000,1.2216651798028593E-5,2,2133
120000000,1.1497434722585927E-5,2,2131
120000000,7.032110168934566E-5,2,2108
120000000,6.71217610044061E-6,3,1605
120000000,7.338185543186604E-6,3,1501
120000000,1.659871789781599E-5,3,1532
120000000,7.8770270163767E-6,3,1587
120000000,2.6137404153823053E-5,3,1516
120000000,3.5317624538751235E-5,3,1550
120000000,5.558996342570464E-7,3,1507
120000000,2.936522966710221E-5,3,1510
120000000,2.416388285946214E-5,3,1496
120000000,2.4558750385677106E-5,3,1470
120000000,4.6106044347106745E-5,4,1257
120000000,1.3829421888025724E-5,4,1207
120000000,1.826682496880273E-5,4,1211
120000000,2.0966827506959325E-6,4,1182
120000000,1.4600629783807237E-6,4,1219
120000000,1.0232520174239824E-5,4,1202
120000000,7.247271325267424E-5,4,1227
120000000,9.343537826113802E-6,4,1204
120000000,1.4722974902580187E-5,4,1213
120000000,6.782538891436329E-5,4,1195
120000000,1.2378092074427634E-5,6,843
120000000,2.1072930802651467E-6,6,852
120000000,3.144820041794739E-6,6,848
120000000,1.3587669641925482E-5,6,841
120000000,5.967894116125018E-5,6,849
120000000,9.566354746501872E-6,6,838
120000000,8.504595375685379E-5,6,831
120000000,4.82834472360022E-5,6,859
120000000,1.9423350888595862E-5,6,824
120000000,6.366613973496397E-5,6,837
120000000,3.385111372901413E-5,8,750
120000000,9.03640141894725E-5,8,648
120000000,7.727086753781503E-5,8,661
120000000,1.2470736557546974E-4,8,802
120000000,5.9212086661618326E-5,8,667
120000000,5.7310552340815655E-5,8,641
120000000,2.7028671835092617E-5,8,667
120000000,3.834491461814662E-6,8,745
120000000,9.173772553430445E-6,8,663
120000000,2.7847952542945294E-5,8,711
120000000,3.8261664655303465E-6,12,696
120000000,3.5485104478008334E-5,12,745
120000000,9.44964112152323E-6,12,913
120000000,1.4381159024211292E-5,12,763
120000000,5.8053275408540294E-5,12,743
120000000,2.46804428462893E-6,12,806
120000000,6.239518552347709E-5,12,822
120000000,1.3067763494447557E-5,12,725
120000000,9.549712835326885E-5,12,754
120000000,3.823546516208642E-5,12,779
