processus_total,erreur,nb_worker,temps(ms)
12000000,1.0190078855962967E-5,1,1453
12000000,2.8545948959249534E-5,1,1279
12000000,1.1311027538883078E-4,2,1310
12000000,1.4638092266309188E-5,2,1290
12000000,5.804266507897108E-5,3,1326
12000000,4.646908088475543E-5,3,1388
12000000,6.44088628026886E-5,4,1325
12000000,4.233937736063749E-5,4,1390
12000000,2.0473773512979568E-5,6,1300
12000000,2.1539385214910066E-4,6,1345
12000000,2.947507921080424E-4,8,2070
12000000,3.1757132561410247E-4,8,3657
12000000,1.095027633453343E-4,8,1992
12000000,1.3538364242541643E-4,8,4761
12000000,6.684091360039705E-5,8,1939
12000000,1.5495243625727566E-5,8,4737
12000000,3.0695267107843033E-4,12,5478
12000000,6.355171144327022E-5,12,2974
12000000,2.618587705357846E-4,12,5059
12000000,4.584078610858318E-5,12,4941
