processus_total,erreur,nb_worker,temps(ms)
12000000,3.4494597582591816E-4,1,1234
12000000,1.0291603403465497E-4,1,1370
24000000,6.419665621186975E-5,2,2777
24000000,1.2842661240915947E-5,2,2791
36000000,1.4977832283388887E-4,3,4177
36000000,1.877612078671144E-5,3,5157
48000000,1.575217686796682E-5,4,5321
48000000,1.0003304423138578E-4,4,7125
72000000,5.839843744883218E-6,6,12976
72000000,1.563671468622635E-5,6,11269
96000000,3.709452840693062E-6,8,33162
96000000,1.528303703490871E-5,8,19524
96000000,5.439536429980209E-5,8,25756
144000000,4.944881509710301E-5,12,51302
144000000,7.341047597362575E-5,12,60778
144000000,1.1832702074565994E-4,12,51686
144000000,1.9580220498425107E-5,12,61623
